SKU,SKU Description,Term,Unit of Measure,Currency,List Price
MCT2674,"Red Hat Virtualization for Service Providers, Full Support (1 Socket, Multi-Tenant, Monthly)",MONTH,SOCKET,USD,49.5
MCT2916,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,220
MCT2916HR,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.01
MCT2918,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,20
MCT2963,"Red Hat OpenStack Platform, Diagnostic Support (Dedicated, Yearly)",ANNUAL,SOCKET-PAIR,USD,3810.4
MCT2964,"Red Hat OpenStack Platform, Diagnostic Support (Dedicated, Monthly)",MONTH,SOCKET-PAIR,USD,346.5
MCT2965,"Red Hat OpenStack Platform, (without Guest OS), Diagnostic Support (Dedicated, Yearly)",ANNUAL,SOCKET-PAIR,USD,1874.4
MCT2966,"Red Hat OpenStack Platform, (without Guest OS), Diagnostic Support (Dedicated, Monthly)",MONTH,SOCKET-PAIR,USD,170.5
MCT2967,"Red Hat OpenStack Platform, (without Guest OS), Diagnostic Support (Multi-Tenant, Monthly)",MONTH,SOCKET,USD,102.3
MCT3016,"Red Hat OpenShift Container Platform, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,201.3
MCT3024,"Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Yearly)",ANNUAL,SOCKET-PAIR,USD,173.8
MCT3025,"Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Monthly)",MONTH,SOCKET-PAIR,USD,15.4
MCT3026,"Red Hat Satellite for Service Providers, Full Support (Managed Node, Yearly)",ANNUAL,MANAGED NODE,USD,58.3
MCT3027,"Red Hat Satellite for Service Providers, Full Support (Managed Node, Monthly)",MONTH,MANAGED NODE,USD,5.5
MCT3577,"Red Hat OpenStack Platform (without Guest OS), Diagnostic Support (Multi-Tenant, Yearly)",ANNUAL,SOCKET,USD,937.2
MCT3752,"Red Hat Ansible Automation Platform, Full Support (1 Managed Node, Dedicated, Yearly)",ANNUAL,MANAGED NODE,USD,115.5
MCT3752MO,"Red Hat Ansible Automation Platform, Full Support (1 Managed Node, Dedicated, Monthly)",MONTH,MANAGED NODE,USD,11.55
MCT3958,"Red Hat Virtualization, Full Support (Socket-Pair, Dedicated, Yearly)",ANNUAL,SOCKET-PAIR,USD,1087.9
MCT3958MO,"Red Hat Virtualization, Full Support (Socket-Pair, Dedicated, Monthly)",MONTH,SOCKET-PAIR,USD,99
MCT4020,"Red Hat Advanced Cluster Management for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,660
MCT4020HR,"Red Hat Advanced Cluster Management for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.187
MCT4020MO,"Red Hat Advanced Cluster Management for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,66
MCT4021,"Red Hat Advanced Cluster Management for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,550
MCT4021HR,"Red Hat Advanced Cluster Management for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.154
MCT4021MO,"Red Hat Advanced Cluster Management for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,55
MCT4565,"Red Hat OpenShift AI, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1540
MCT4565HR,"Red Hat OpenShift AI, Full Support (2 Cores or 4 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.11
MCT4565MO,"Red Hat OpenShift AI, Full Support (2 Cores or 4 vCPUs, Monthly)",MONTH,CORE BAND,USD,70.587
MCT4602MO,"Red Hat OpenStack Platform, Diagnostic Support (1 Socket, Multi-Tenant, Monthly)",MONTH,SYSTEM,USD,174.625
MCT4603,"Red Hat OpenStack Platform, Diagnostic Support (1 Socket, Multi-Tenant, Yearly)",ANNUAL,SYSTEM,USD,1905.2
MCT4682,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 2, Layered Support (1-2 sockets, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,978
MCT4682MO,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,90
MCT4683,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 3, Layered Support (1-2 sockets, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,1076
MCT4683MO,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 3, Layered Support (1-2 Sockets, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,99
MCT4685,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 2, Layered Support (1 socket, Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,489
MCT4685MO,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 2, Layered Support (1 socket, Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,45
MCT4686,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 3, Layered Support (1 socket, Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,538
MCT4686MO,"Red Hat OpenStack Platform Extended Life Cycle Support Long-Life Add-On - Term 3, Layered Support (1 socket, Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,49.5
MCT4688,"Red Hat OpenStack Services on OpenShift, Diagnostic Support (1-2 Sockets, Yearly)",ANNUAL,SYSTEM,USD,1874
MCT4689MO,"Red Hat OpenStack Services on OpenShift, Diagnostic Support (1-2 Sockets, Monthly)",MONTH,SYSTEM,USD,172
MCT4733,"Red Hat AI Accelerator, Full Support (1 Accelerator, Dedicated or Multi-Tenant, Yearly)",ANNUAL,AI ACCELERATOR,USD,770
MCT4734MO,"Red Hat AI Accelerator, Full Support (1 Accelerator, Dedicated or Multi-Tenant, Monthly)",MONTH,AI ACCELERATOR,USD,70.58
MCT4735HR,"Red Hat AI Accelerator, Full Support (1 Accelerator, Dedicated or Multi-Tenant, Hourly)",HOUR,AI ACCELERATOR,USD,0.11
MCT4788,"Red Hat OpenShift AI (Bare Metal Node), Full Support (1-2 sockets up to 128 cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,13860
MCT4799HR,"Red Hat OpenShift AI (Bare Metal Node), Full Support (1-2 sockets up to 128 cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,2.06
MCT4800MO,"Red Hat OpenShift AI (Bare Metal Node), Full Support (1-2 sockets up to 128 cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,1271
MCT4841HR,"Red Hat AI Inference Server (Physical Node or Virtual Node), Full Support (1 AI Accelerator, Hourly)",HOUR,AI ACCELERATOR,USD,0.166
MCT4842MO,"Red Hat AI Inference Server (Physical Node or Virtual Node), Full Support (1 AI Accelerator, Monthly)",MONTH,AI ACCELERATOR,USD,102.67
MCT4843,"Red Hat AI Inference Server (Physical Node or Virtual Node), Full Support (1 AI Accelerator, Yearly)",ANNUAL,AI ACCELERATOR,USD,1120
MW00226,"Red Hat OpenShift Container Platform, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2640
MW00226MO,"Red Hat OpenShift Container Platform, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,242
MW00229,"Red Hat JBoss Enterprise Application Platform, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1155
MW00229MO,"Red Hat JBoss Enterprise Application Platform, Full Support (2 Cores or 4 vCPUs, Monthly)",MONTH,CORE BAND,USD,127.6
MW00231,"Red Hat Data Grid, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1155
MW00233,"Red Hat Fuse, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,4158
MW00235,"Red Hat AMQ, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,4158
MW00235MO,"Red Hat AMQ, Full Support (2 Cores or 4 vCPUs, Monthly)",MONTH,CORE BAND,USD,457.6
MW00253,"Red Hat Fuse Extended Life Cycle Support Add-On, Layered Support (4 Cores or 8 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,4158
MW00472,"Red Hat OpenShift Container Platform, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2200
MW00473MO,"Red Hat JBoss Enterprise Application Platform, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,52.8
MW00474MO,"Red Hat JBoss Enterprise Application Platform Extended Life Cycle Support Add-On, Layered Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,52.9
MW00475HR,"Red Hat JBoss Enterprise Application Platform, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.088
MW00476HR,"Red Hat JBoss Enterprise Application Platform Extended Life Cycle Support Add-On, Layered Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.086
MW00477MO,"Red Hat JBoss Web Server, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,9.922
MW00479HR,"Red Hat JBoss Web Server, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.022
MW00481MO,"Red Hat Data Grid, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,52.8
MW00483HR,"Red Hat Data Grid, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.088
MW00485MO,"Red Hat AMQ, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,190.3
MW00487HR,"Red Hat AMQ, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.308
MW00489MO,"Red Hat Fuse, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,190.3
MW00491HR,"Red Hat Fuse, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.308
MW00557MO,"Red Hat 3scale API Management, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,190.3
MW00667,"Red Hat Runtimes, Full Support (2 cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1155
MW00670,"Red Hat Integration, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,4158
MW00679,"Red Hat OpenShift Container Platform with Runtimes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,4235
MW00679HR,"Red Hat OpenShift Container Platform with Runtimes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.628
MW00679MO,"Red Hat OpenShift Container Platform with Runtimes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,388.2
MW00682,"Red Hat OpenShift Container Platform with Application Foundations, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,7238
MW00682HR,"Red Hat OpenShift Container Platform with Application Foundations, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,1.518
MW00682MO,"Red Hat OpenShift Container Platform with Application Foundations, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,663.5
MW00728,"Red Hat JBoss Web Server, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,216.562
MW00744,"Red Hat Fuse Extended Life Cycle Support Add-On, Layered Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,4158
MW00762,"Red Hat JBoss Enterprise Application Platform Extended Life Cycle Support Add-On, Layered Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1155
MW00775MO,"Red Hat Runtimes, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,52.8
MW00776HR,"Red Hat Integration, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.308
MW00777MO,"Red Hat Integration, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,190.3
MW01210,"Red Hat build of OpenJDK for Servers, Full Support (10 Cores or 20 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1386
MW01211,"Red Hat build of OpenJDK for Servers, Full Support (200 Cores or 400 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,15246
MW01212,"Red Hat build of OpenJDK for Servers,  Full Support (2, 000 Cores or 4, 000 vCPUs,  Yearly)",ANNUAL,CORE BAND,USD,110880
MW01218MO,"Red Hat build of OpenJDK for Servers, Full Support (1 Core or 2 vCPUs, Monthly, Billing)",MONTH,CORE BAND,USD,14.3
MW01220,"Red Hat build of OpenJDK for Workstations, Full Support (50 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,1386
MW01221,"Red Hat build of OpenJDK for Workstations,  Full Support (1, 000 Physical or Virtual Nodes,  Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,11550
MW01222,"Red Hat build of OpenJDK for Workstations,  Full Support (10, 000 Physical or Virtual Nodes,  Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,103950
MW01228MO,"Red Hat build of OpenJDK for Workstations, Full Support (1 Physical or Virtual Node, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,2.772
MW01230,"Red Hat Openshift Container Platform for IBM Power, Diagnostic Support (2 cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2200
MW01230MO,"Red Hat Openshift Container Platform for IBM Power, Diagnostic Support (2 cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,201.3
MW01233,"Red Hat Openshift Container Platform for IBM Power, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2400
MW01233MO,"Red Hat Openshift Container Platform for IBM Power, Full Support (2 cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,242
MW01240HR,"Red Hat OpenShift Container Platform, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.33
MW01241HR,"Red Hat OpenShift Container Platform, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.396
MW01380,"Red Hat OpenShift for Advanced and Premier Cloud Providers, Diagnostic Support (Cluster Fee, 1 Cluster, Yearly)",ANNUAL,CLUSTER FEE,USD,202.4
MW01380HR,"Red Hat OpenShift for Advanced and Premier Cloud Providers, Diagnostic Support (Cluster Fee, 1 Cluster, Hourly)",HOUR,CLUSTER FEE,USD,0.022
MW01380MO,"Red Hat OpenShift for Advanced and Premier Cloud Providers, Diagnostic Support (Cluster Fee, 1 Cluster, Monthly)",MONTH,CLUSTER FEE,USD,16.5
MW01381,"Red Hat OpenShift for Advanced and Premier Cloud Providers, Diagnostic Support (Worker Fee, 2 cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,770
MW01381HR,"Red Hat OpenShift for Advanced and Premier Cloud Providers, Diagnostic Support (Worker Fee, 2 cores or 4 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.132
MW01381MO,"Red Hat OpenShift for Advanced and Premier Cloud Providers, Diagnostic Support (Worker Fee, 2 cores or 4 vCPUs, Monthly)",MONTH,CORE BAND,USD,95.7
MW01456,"Red Hat Quay, Full Support (1 Deployment, Dedicated or Multi-Tenant, Yearly)",ANNUAL,DEPLOYMENT,USD,29700
MW01456HR,"Red Hat Quay, Full Support (1 Deployment, Dedicated or Multi-Tenant, Hourly)",HOUR,DEPLOYMENT,USD,3.388
MW01456MO,"Red Hat Quay, Full Support (1 Deployment, Dedicated or Multi-Tenant, Monthly)",MONTH,DEPLOYMENT,USD,2475
MW01457,"Red Hat Quay, Diagnostic Support (1 Deployment, Dedicated or Multi-Tenant, Yearly)",ANNUAL,DEPLOYMENT,USD,24750
MW01457HR,"Red Hat Quay, Diagnostic Support (1 Deployment, Dedicated or Multi-Tenant, Hourly)",HOUR,DEPLOYMENT,USD,2.816
MW01457MO,"Red Hat Quay, Diagnostic Support (1 Deployment, Dedicated or Multi-Tenant, Monthly)",MONTH,DEPLOYMENT,USD,2062.5
MW01474,"Red Hat OpenShift Container Platform, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly, for Windows)",ANNUAL,CORE BAND,USD,396
MW01633,"Red Hat OpenShift Platform Plus, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,3300
MW01633HR,"Red Hat OpenShift Platform Plus, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.495
MW01633MO,"Red Hat OpenShift Platform Plus, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,302.5
MW01634,"Red Hat OpenShift Platform Plus, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2750
MW01634HR,"Red Hat OpenShift Platform Plus, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.407
MW01634MO,"Red Hat OpenShift Platform Plus, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,251.9
MW01669,"Red Hat Advanced Cluster Security for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,495
MW01669HR,"Red Hat Advanced Cluster Security for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.132
MW01669MO,"Red Hat Advanced Cluster Security for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Monthly)",MONTH,CORE BAND,USD,49.5
MW01670,"Red Hat Advanced Cluster Security for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,412.5
MW01670HR,"Red Hat Advanced Cluster Security for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.11
MW01670MO,"Red Hat Advanced Cluster Security for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Monthly)",MONTH,CORE BAND,USD,41.8
MW01711,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,4290
MW01711HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,1.177
MW01711MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,429
MW01712,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,3575
MW01712HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.979
MW01712MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,357.5
MW01713,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node), Full Support (1-2 sockets up to 64 cores, Yearly)",ANNUAL,PHYSICAL NODE,USD,13200
MW01714,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node), Diagnostic Support (1-2 sockets up to 64 cores, Yearly)",ANNUAL,PHYSICAL NODE,USD,11000
MW01992,"Red Hat Application Foundations, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,4158
MW02004HR,"Red Hat Application Foundations, Full Support (1 core or 2 vCPUS, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.308
MW02004MO,"Red Hat Application Foundations, Full Support (1 Core or 2 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,190.575
MW02090,"Red Hat Application Foundations, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2079
MW02090HR,"Red Hat Application Foundations, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.62
MW02090MO,"Red Hat Application Foundations, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,381.2
MW02448,"Red Hat Application Foundations, Cluster Edition, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2079
MW02448HR,"Red Hat Application Foundations, Cluster Edition, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.154
MW02448MO,"Red Hat Application Foundations, Cluster Edition, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,95.293
MW02449,"Red Hat Application Foundations, Cluster Edition, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2079
MW02449HR,"Red Hat Application Foundations, Cluster Edition, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.154
MW02449MO,"Red Hat Application Foundations, Cluster Edition, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,95.293
MW02461HR,"Red Hat Application Foundations, Cluster Edition, Full Support (1 Core or 2 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.14
MW02676,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (10 Cores or 20 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1386
