SKU,SKU Description,Term,Unit of Measure,Currency,List Price
MW02677,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (200 Cores or 400 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,15246
MW02678,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (2,000 Cores or 4,000 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,110880
MW02680HR,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.022
MW02681MO,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,14.3
MW02682,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (50 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,1386
MW02683,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (1,000 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,11550
MW02684,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (10,000 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,103950
MW02686HR,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (1 Physical or Virtual Node, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.011
MW02687MO,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (1 Physical or Virtual Node, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,2.772
MW03434MO,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,12.6
MW03435HR,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.02
MW03436MO,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Long-Life Add-On - Term 2, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,25.21
MW03437HR,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.04
MW03633MO,"Red Hat OpenShift Container Platform Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,50
MW03634HR,"Red Hat OpenShift Container Platform Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.08
MW03635MO,"Red Hat OpenShift Container Platform Extended Update Support Long-Life Add-On - Term 2, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,101
MW03636HR,"Red Hat OpenShift Container Platform Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.16
MW03662MO,"Red Hat OpenShift Platform Plus Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,50
MW03663HR,"Red Hat OpenShift Platform Plus Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.08
MW03664MO,"Red Hat OpenShift Platform Plus Extended Update Support Long-Life Add-On - Term 2, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,101
MW03665HR,"Red Hat OpenShift Platform Plus Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.16
MW03774,"Red Hat Developer Hub, Full Support (50 Users, Dedicated or Multi-Tenant, Yearly)",ANNUAL,USER,USD,21000
MW03775,"Red Hat Developer Hub, Full Support (10 Users, Dedicated or Multi-Tenant, Yearly)",ANNUAL,USER,USD,4200
MW03810,"Red Hat OpenShift Virtualization Engine (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,1800
MW03811MO,"Red Hat OpenShift Virtualization Engine (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,165
MW03812,"Red Hat OpenShift Virtualization Engine (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,1500
MW03813MO,"Red Hat OpenShift Virtualization Engine (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,137.5
MW03968MO,"Red Hat Advanced Cluster Security for Kubernetes Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,12.5
MW03969HR,"Red Hat Advanced Cluster Security for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.03
MW03970MO,"Red Hat Advanced Cluster Security for Kubernetes Extended Update Support Long-Life Add-On - Term 2, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,25
MW03971HR,"Red Hat Advanced Cluster Security for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.07
MW03976MO,"Red Hat Advanced Cluster Security for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (Bare Metal Node, 1-2 sockets, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,37.25
MW03978MO,"Red Hat Advanced Cluster Security for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (Bare Metal Node, 1-2 sockets, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,74.5
MW04076MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced Extended Update Support Add-On - Long-Life Add-on - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,164
MW04077HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced Extended Update Support Add-On - Long-Life Add-on - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.27
MW04082MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Add-On - Long-Life Add-on - Additional Term 1, Layered Support (1-2 sockets, Monthly)",MONTH,PHYSICAL NODE,USD,252
MW04083HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Add-On - Long-Life Add-on - Additional Term 1, Layered Support (1-2 sockets, Hourly)",HOUR,PHYSICAL NODE,USD,0.41
MW04084MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Add-On - Long-Life Add-on - Additional Term 2, Layered Support (1-2 sockets, Monthly)",MONTH,PHYSICAL NODE,USD,504
MW04085HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Add-On - Long-Life Add-on - Additional Term 2, Layered Support (1-2 sockets, Hourly)",HOUR,PHYSICAL NODE,USD,0.82
MW04137,"Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,1320
MW04138MO,"Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,121
MW04139HR,"Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,0.2
MW04140,"Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,1100
MW04141MO,"Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,101
MW04142HR,"Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,0.17
MW04237,"Red Hat Single Sign-On, Extended Life Cycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1155
MW04238MO,"Red Hat Single Sign-On, Extended Life Cycle Support Add-On, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,52.938
MW04239HR,"Red Hat Single Sign-On, Extended Life Cycle Support Add-On, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.09
MW04361,"Red Hat OpenShift Platform Plus (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,29700
MW04361HR,"Red Hat OpenShift Platform Plus (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Hourly)",HOUR,PHYSICAL NODE,USD,4.41
MW04361MO,"Red Hat OpenShift Platform Plus (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,2723
MW04362,"Red Hat OpenShift Platform Plus (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,24750
MW04362HR,"Red Hat OpenShift Platform Plus (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated, Hourly)",HOUR,PHYSICAL NODE,USD,3.67
MW04362MO,"Red Hat OpenShift Platform Plus (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,2269
MW04377,"Red Hat OpenShift Container Platform (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,23760
MW04377HR,"Red Hat OpenShift Container Platform (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Hourly)",HOUR,PHYSICAL NODE,USD,3.53
MW04377MO,"Red Hat OpenShift Container Platform (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,2178
MW04378,"Red Hat OpenShift Container Platform (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,19800
MW04378HR,"Red Hat OpenShift Container Platform (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated, Hourly)",HOUR,PHYSICAL NODE,USD,2.94
MW04378MO,"Red Hat OpenShift Container Platform (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,1815
MW04388MO,"Red Hat OpenShift Platform Plus (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,567
MW04389HR,"Red Hat OpenShift Platform Plus (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,0.92
MW04390MO,"Red Hat OpenShift Platform Plus (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,1134
MW04391HR,"Red Hat OpenShift Platform Plus (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,1.84
MW04420MO,"Red Hat OpenShift Container Platform (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,454
MW04421HR,"Red Hat OpenShift Container Platform (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,0.73
MW04422MO,"Red Hat OpenShift Container Platform (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,908
MW04423HR,"Red Hat OpenShift Container Platform (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,1.469
MW04506,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,4950
MW04507,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,5940
MW04518,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,3713
MW04519,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,4455
MW04622,"Red Hat Application Foundations, Cluster Edition (Bare Metal Node), Extended Lifecycle Support Add-On, Layered Support (1-2 Sockets up to 128 cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,18711
MW04623,"Red Hat Application Foundations, Cluster Edition (Bare Metal Node), Full Support (1-2 Sockets up to 128 cores, Dedicated or Multi-Tenant, Yearly)",ANNUAL,PHYSICAL NODE,USD,18711
MW04628MO,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,113.44
MW04630MO,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,227
MW04639MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,756
MW04640HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,1.22
MW04641MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,1513
MW04642HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2, Layered Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,2.45
MW04657MO,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,495
MW04658MO,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,594
MW04661MO,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node), Diagnostic Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,371
MW04662MO,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,446
MW04663HR,"Red Hat Application Foundations, Cluster Edition (Bare Metal Node), Extended Lifecycle Support Add-On, Layered Support (1-2 Sockets up to 128 cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,2.77
MW04664MO,"Red Hat Application Foundations, Cluster Edition (Bare Metal Node), Extended Lifecycle Support Add-On, Layered Support (1-2 Sockets up to 128 cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,1715
MW04665HR,"Red Hat Application Foundations, Cluster Edition (Bare Metal Node), Full Support (1-2 Sockets up to 128 cores, Dedicated or Multi-Tenant, Hourly)",HOUR,PHYSICAL NODE,USD,2.78
MW04666MO,"Red Hat Application Foundations, Cluster Edition (Bare Metal Node), Full Support (1-2 Sockets up to 128 cores, Dedicated or Multi-Tenant, Monthly)",MONTH,PHYSICAL NODE,USD,1715
MW04812,"Red Hat OpenShift Data Foundation Advanced Upgrade for OpenShift Platform Plus (Bare Metal Node), Full Support (1-2 Sockets up to 128 Cores, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,9900
RH00232,"Red Hat Enterprise Linux Server for Service Providers, Full Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,943.8
RH00232HR,"Red Hat Enterprise Linux Server, Full Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.143
RH00233,"Red Hat Enterprise Linux Server for Virtual Datacenters for Service Providers, Full Support (Physical Node, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,2904
RH00234,"Red Hat Enterprise Linux Server for Service Providers, Full Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,85.8
RH00235,"Red Hat Enterprise Linux Server for Virtual Datacenters for Service Providers, Full Support (Physical Node, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,264
RH00236,"Red Hat Enterprise Linux Server for Service Providers, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,786.5
RH00236HR,"Red Hat Enterprise Linux Server, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.121
RH00237,"Red Hat Enterprise Linux Server for Virtual Datacenters for Service Providers, Diagnostic Support (Physical Node, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,2420
RH00238,"Red Hat Enterprise Linux Server for Service Providers, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,71.5
RH00239,"Red Hat Enterprise Linux Server for Virtual Datacenters for Service Providers, Diagnostic Support (Physical Node, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,220
RH00360,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,34.95
RH00361,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (Unlimited Guests, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,109.95
RH00385,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,242
RH00385MO,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,22
RH00386,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (Unlimited Guests, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,753.5
RH00386MO,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (Unlimited Guests, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,69.3
RH00387,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,484
RH00387MO,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,44
RH00388,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Unlimited Guests, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE,USD,1510.3
RH00388MO,"Red Hat Enterprise Linux, Resilient Storage Add-On, Layered Support (Unlimited Guests, Dedicated, Monthly)",MONTH,PHYSICAL NODE,USD,137.5
RH00536,"Red Hat Enterprise Linux for SAP Applications for Service Providers, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,786.5
